Id2,Geography,Male; Estimate; Total population,Female; Estimate; Total population,Total; Estimate; Total population - SUMMARY INDICATORS - Median age (years),Total; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; Population 25 years and over - Bachelor's degree,Now married (except separated); Estimate; Population 15 years and over,Population,percent_hispanic
31900,"Mansfield, OH Metro Area",63855,61936,39.8,103.1,9.6,53.1,125791,1.159065434
32580,"McAllen-Edinburg-Mission, TX Metro Area",343139,359558,27.4,95.4,10.7,57.7,702697,89.35259436
32780,"Medford, OR Metro Area",95872,102164,41.5,93.8,15.6,52.8,198036,8.799410208
32820,"Memphis, TN-MS-AR Metro Area",618618,668613,34.4,92.5,15.7,43.9,1287231,4.053507102
32900,"Merced, CA Metro Area",121826,120409,29.4,101.2,8.6,50.8,242235,52.12789234
33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2672613,2812164,38.8,95,18.2,46.4,5484777,38.90066998
33140,"Michigan City-La Porte, IN Metro Area",56519,53583,38.9,105.5,10.9,50.5,110102,4.395015531
33260,"Midland, TX Metro Area",61348,64939,33.4,94.5,17.8,56.9,126287,35.74477183
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",753886,792426,36.6,95.1,20.3,47.8,1546312,8.206041213
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",1589604,1612808,35.6,98.6,25.3,52.5,3202412,4.610993214
33540,"Missoula, MT Metro Area",53070,52567,32.8,101,24,43.7,105637,2.451792459
33660,"Mobile, AL Metro Area",193903,211428,35.3,91.7,12.9,48.6,405331,1.759056179
33700,"Modesto, CA Metro Area",250196,254969,32.2,98.1,11.1,50.6,505165,38.93797076
33740,"Monroe, LA Metro Area",82165,90572,33.9,90.7,15.7,46,172737,1.926628343
33780,"Monroe, MI Metro Area",75918,76981,38.9,98.6,11.4,57.9,152899,2.693281186
33860,"Montgomery, AL Metro Area",175537,187762,35,93.5,16.2,46.3,363299,1.840082136
34060,"Morgantown, WV Metro Area",59668,58374,32.6,102.2,13.7,44.2,118042,1.41729215
34100,"Morristown, TN Metro Area",66610,67753,38.8,98.3,7.9,55.4,134363,6.317215305
34580,"Mount Vernon-Anacortes, WA Metro Area",57536,58616,39.3,98.2,14.5,53.8,116152,14.54042978
34620,"Muncie, IN Metro Area",55295,60253,34.4,91.8,12.3,45.9,115548,1.432305189
34740,"Muskegon-Norton Shores, MI Metro Area",86770,87386,37.1,99.3,11,50.1,174156,4.361606835
34820,"Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area",122160,126441,41,96.6,14,52.7,248601,4.475042337
34900,"Napa, CA Metro Area",66452,65721,39.3,101.1,19.8,51.9,132173,29.20490569
34940,"Naples-Marco Island, FL Metro Area",159211,153954,45.2,103.4,18.9,57,313165,25.1640509
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",747062,773587,35.4,96.6,19.7,51.1,1520649,5.503373888
35300,"New Haven-Milford, CT Metro Area",407736,435796,38.1,93.6,17.5,48.1,843532,12.86862858
35380,"New Orleans-Metairie-Kenner, LA Metro Area",554598,599190,37.4,92.6,16.4,43.9,1153788,6.075119519
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",9147392,9765252,37.4,93.7,20.8,46.9,18912644,21.19630127
35660,"Niles-Benton Harbor, MI Metro Area",77788,82341,40,94.5,14.2,51.6,160129,3.888115207
35980,"Norwich-New London, CT Metro Area",131131,135052,39.3,97.1,17.2,52.6,266183,6.602976148
36100,"Ocala, FL Metro Area",154905,163981,45.6,94.5,10.9,56.1,318886,8.837327446
36140,"Ocean City, NJ Metro Area",46803,50324,46.3,93,18.1,57.4,97127,4.445725699
36220,"Odessa, TX Metro Area",63089,65899,30.7,95.7,9.2,51.7,128988,49.59841226
36260,"Ogden-Clearfield, UT Metro Area",260815,256049,29.5,101.9,19.5,59.6,516864,10.71539128
36420,"Oklahoma City, OK Metro Area",585458,605716,34.3,96.7,18,50.9,1191174,9.537061756
36500,"Olympia, WA Metro Area",117508,121740,38,96.5,19.2,52.5,239248,5.945295258
36540,"Omaha-Council Bluffs, NE-IA Metro Area",409985,419717,34.4,97.7,21.3,52.1,829702,7.405670952
36740,"Orlando-Kissimmee, FL Metro Area",1001305,1022300,35.8,97.9,18.7,50,2023605,22.46737876
36780,"Oshkosh-Neenah, WI Metro Area",81140,80246,36.9,101.1,17.3,50.3,161386,2.993444289
36980,"Owensboro, KY Metro Area",54631,57635,38.4,94.8,9.9,55.5,112266,1.606007162
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",397194,395119,36.1,100.5,19.2,53.4,792313,37.3041967
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",261529,271168,44,96.4,16.7,53,532697,6.80931186
37380,"Palm Coast, FL Metro Area",41663,43960,47.7,94.8,14.4,62.9,85623,7.661492823
37460,"Panama City-Lynn Haven-Panama City Beach, FL Metro Area",80876,82575,38.3,97.9,12.8,52.9,163451,3.590678552
37620,"Parkersburg-Marietta-Vienna, WV-OH Metro Area",78616,82557,41.3,95.2,11,55.3,161173,0.736475712
37700,"Pascagoula, MS Metro Area",75980,77659,36.1,97.8,11.2,53.8,153639,3.341599464
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",223784,226810,37.2,98.7,15.6,49.8,450594,3.732184627
37900,"Peoria, IL Metro Area",181245,189875,38,95.5,16.9,52.8,371120,2.136236258
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2854577,3056016,37.5,93.4,19.3,46.8,5910593,6.663764533
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",2098202,2053432,33.4,102.2,17.7,49.7,4151634,30.52605312
38220,"Pine Bluff, AR Metro Area",51494,50597,36.7,101.8,10.8,44,102091,1.672037692
38300,"Pittsburgh, PA Metro Area",1135442,1224817,41.9,92.7,17.4,50.7,2360259,1.08509278
38340,"Pittsfield, MA Metro Area",62540,67628,43.6,92.5,17.1,47,130168,2.484481593
38540,"Pocatello, ID Metro Area",43186,44931,30,96.1,17.4,55.6,88117,7.715877753
38860,"Portland-South Portland-Biddeford, ME Metro Area",250480,263564,40.5,95,21.8,52.6,514044,1.552201757
38900,"Portland-Vancouver-Beaverton, OR-WA Metro Area",1075554,1087882,36,98.9,21.3,50.8,2163436,10.0028843
38940,"Port St. Lucie, FL Metro Area",194750,200025,44.2,97.4,14.1,53.7,394775,12.95269457
39100,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",336700,332035,37.4,101.4,16.8,51.2,668735,12.80656762
39140,"Prescott, AZ Metro Area",102669,106696,47.7,96.2,14.6,54,209365,12.61767726
39300,"Providence-New Bedford-Fall River, RI-MA Metro Area",775700,826891,38.7,93.8,17.5,47.7,1602591,9.234483408
39340,"Provo-Orem, UT Metro Area",255739,258814,23.3,98.8,23.4,55.1,514553,9.081668944
39380,"Pueblo, CO Metro Area",75212,78602,38,95.7,13.8,51,153814,39.20644415
39460,"Punta Gorda, FL Metro Area",75364,80679,54.6,93.4,13,61.5,156043,4.808290023
39540,"Racine, WI Metro Area",98909,100238,37.9,98.7,14.9,51.2,199147,10.04634767
39580,"Raleigh-Cary, NC Metro Area",516364,526484,34.3,98.1,27.7,53,1042848,8.572773789
39660,"Rapid City, SD Metro Area",60202,60827,35.9,99,17.9,54.6,121029,3.880061803
39740,"Reading, PA Metro Area",197830,203658,38.5,97.1,14.4,52.9,401488,13.7184673
39820,"Redding, CA Metro Area",87904,91483,40.8,96.1,13.1,51,179387,7.722967662
39900,"Reno-Sparks, NV Metro Area",207153,201607,36.2,102.8,17,49.6,408760,20.66713964
40060,"Richmond, VA Metro Area",586329,623155,37.1,94.1,19.9,48.9,1209484,3.863548422
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",2015444,2007495,31.9,100.4,12.7,50.3,4022939,44.88541835
40220,"Roanoke, VA Metro Area",142076,154548,41.2,91.9,15.7,52.5,296624,1.982981822
40340,"Rochester, MN Metro Area",89503,91417,36.5,97.9,21.1,58.6,180920,3.071523325
40380,"Rochester, NY Metro Area",504237,528789,38.9,95.4,18.1,48.2,1033026,5.076251711
40420,"Rockford, IL Metro Area",172338,175865,37,98,13.5,50.5,348203,11.25521607
40580,"Rocky Mount, NC Metro Area",68982,76418,38.6,90.3,11.2,47.7,145400,4.414030261
40660,"Rome, GA Metro Area",46345,48894,36.3,94.8,10.7,51.6,95239,7.789875996
40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",1023275,1053304,35.5,97.1,19.9,49.8,2076579,18.58922776
40980,"Saginaw-Saginaw Township North, MI Metro Area",97710,105104,38.6,93,11.7,48.4,202814,7.333320185
41060,"St. Cloud, MN Metro Area",93051,92577,33.3,100.5,15.1,51.7,185628,1.79929752
41100,"St. George, UT Metro Area",64753,65505,31.8,98.9,15.3,64.5,130258,7.687051851
41140,"St. Joseph, MO-KS Metro Area",63441,61833,37.7,102.6,12.3,50.3,125274,2.835384836
41180,"St. Louis, MO-IL Metro Area",1355801,1447975,37.5,93.6,17.8,49.8,2803776,2.167362871
41420,"Salem, OR Metro Area",192977,191402,35.2,100.8,14.3,51.5,384379,19.8218425
41500,"Salinas, CA Metro Area",210686,194236,32.5,108.5,14.5,49.9,404922,52.06138466
41540,"Salisbury, MD Metro Area",58226,60544,36.1,96.2,13.3,44.7,118770,3.145575482
41620,"Salt Lake City, UT Metro Area",551464,538952,30.5,102.3,19.8,54.4,1090416,15.12642881
41660,"San Angelo, TX Metro Area",52154,56167,33.7,92.9,15.2,52.1,108321,34.23620535
41700,"San Antonio, TX Metro Area",969420,1010266,33.6,96,15.8,49.2,1979686,52.92627215
41740,"San Diego-Carlsbad-San Marcos, CA Metro Area",1497336,1490207,34.5,100.5,21.3,48.8,2987543,30.35678482
41780,"Sandusky, OH Metro Area",37923,39477,42.6,96.1,12.8,55.9,77400,2.552971576
41860,"San Francisco-Oakland-Fremont, CA Metro Area",2096536,2121998,37.8,98.8,26.6,48,4218534,20.04644267
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",910050,874080,35.4,104.1,24.9,53.3,1784130,26.50798989
42020,"San Luis Obispo-Paso Robles, CA Metro Area",134587,127562,38.8,105.5,19.1,48.6,262149,18.83432704
42060,"Santa Barbara-Santa Maria-Goleta, CA Metro Area",202675,199350,33.7,101.7,18.6,47.5,402025,38.75729121
42100,"Santa Cruz-Watsonville, CA Metro Area",125864,125534,36.7,100.3,24,47.4,251398,29.02011949
42140,"Santa Fe, NM Metro Area",71140,72361,40.6,98.3,20.8,44.7,143501,50.32856914
42220,"Santa Rosa-Petaluma, CA Metro Area",229877,234341,39.3,98.1,20.1,49.9,464218,22.32787182
42340,"Savannah, GA Metro Area",158451,170093,34.4,93.2,17.5,48.2,328544,2.89915506
42540,"Scranton--Wilkes-Barre, PA Metro Area",265259,283642,41.8,93.5,13.7,49.7,548901,3.447434055
